variable_origen_dhis2,tipo_dato_origen,transformacion,tabla_destino,campo_destino
"Nombres + Apellidos",Texto,Concatenación: nombres + ' ' + apellidos,TR_PACIENTE,NOMBRE
"Nro. de identificación",Texto,Directo,TR_PACIENTE,IDENTIFICACION
"Nro. de identificación",Texto,"trim(); usado como CODIGO_ORIGEN y como clave de deduplicación: si ya existe el paciente se actualiza en vez de crear uno nuevo",TR_PACIENTE,CODIGO_ORIGEN
"Sexo",Option set (texto),"normalizarSexo() homologa sinónimos (MASCULINO→HOMBRE, FEMENINO→MUJER) y luego búsqueda por similitud en catálogo TC_CATALOGO_PADRE (subcategoría GENERO) → FK",TR_PACIENTE,CT_SEXO_ID
"Autoidentificación",Option set (texto),"normalizarEtnia() homologa sinónimos (AFROECUATORIANO/AFRO-ECUADORIAN→AFRODESCENDIENTE, INDIGENOUS→INDIGENA; corta en '/' ) y búsqueda por similitud en catálogo (subcategoría ETNIA) → FK",TR_PACIENTE,CT_AUTO_IDENTIFICACION_ETNICA_ID
"Fecha de nacimiento",Fecha,"formatoFecha(): admite formato ISO ('YYYY-MM-DD...') o compacto 'YYYYMMDD' → Date UTC; null si inválida",TR_PACIENTE,FECHA_NACIMIENTO
"(constante)",-,Valor fijo 'Medio electrónico DHIS2',TR_NOTIFICACION,MEDIO_NOTIFICACION
"DNVE ESAVI TRK - Edad",Entero,"formatoInteger(); válida solo si 0<edad<121 y existe unidad de edad; si no cumple, se guarda null y se recalcula en NotificacionDhis2Service a partir de fechaNotificacion − fechaNacimiento",TR_NOTIFICACION,EDAD
"DNVE ESAVI TRK - Tipo edad",Option set (texto),"buscarSubcategoriaPorSimilitud('UNIDAD_EDAD', valor) → FK catálogo; si la edad fue recalculada por fecha, se fuerza la unidad 'Años'",TR_NOTIFICACION,CTUNIDADEDAD_ID
"Fecha de reporte",Fecha,"formatoFecha(); DHIS2 no tiene un data element 'Fecha de notificación': se usa la fecha del evento de la etapa Notificación, etiquetada por el tracker como 'Fecha de reporte'",TR_NOTIFICACION,FECHA_NOTIFICACION
"Fecha de reporte",Fecha,"formatoFecha(); mismo valor que FECHA_NOTIFICACION (queda duplicado por recomendación del equipo funcional)",TR_NOTIFICACION,FECHA_REPORTE_NACIONAL
"DNVE ESAVI TRK - Fecha de atención",Fecha,formatoFecha(),TR_NOTIFICACION,FECHA_ATENCION
"Incident date",Fecha,formatoFecha(),TR_NOTIFICACION,FECHA_LLENADO_FICHA
"DNVE ESAVI TRK - Código del caso",Texto,"Directo; clave de deduplicación de la notificación (si existe se actualiza); si viene vacío el registro completo se descarta",TR_NOTIFICACION,CODIGO_ORIGEN_NOTIFICACION
"(constante)",-,"Valor fijo 'Profesional de la salud' → buscarSubcategoriaPorSimilitud('TIPO_EMISOR') → FK",TR_NOTIFICACION,CT_TIPO_EMISOR_ID
"DNVE ESAVI TRK - Parroquia residencia",Option set (texto con código),"Extrae código de 6 dígitos entre paréntesis con regex \((\d{6})\); si no hay match, busca por nombre exacto en TC_PARROQUIA → FK",TR_NOTIFICACION,CTPARROQUIA_CODIGO
"DNVE ESAVI TRK - Unicódigo",Texto,"trim() y búsqueda en TR_ESTABLECIMIENTO por UNI_CODIGO (solo habilitados) → FK",TR_NOTIFICACION,ESTABLECIMIENTO_ID
"DNVE ESAVI TRK - Observaciones",Texto largo,Directo,TR_NOTIFICACION,CASO_NARRATIVO
"(constante)",-,Valor fijo 'DHIS2',TR_NOTIFICACION,ORIGEN
"DNVE ESAVI TRK - Provincia residencia / Canton residencia",Option set (texto),"Se capturan pero NO se persisten: TR_NOTIFICACION no tiene columnas de provincia/cantón, solo FK a parroquia",(no persistido),(no persistido)
"Organisation unit name / code / unit",Texto,"Se capturan en el DTO pero NO se persisten: no existen columnas equivalentes en TR_NOTIFICACION (el establecimiento real se resuelve vía 'Unicódigo')",(no persistido),(no persistido)
"DNVE ESAVI TRK - Nombre de quien notifica",Texto,"Se captura en el DTO pero NO se persiste en el flujo actual (no hay creación de TR_NOTIFICADOR desde DHIS2)",(no persistido),(no persistido)
"DNVE ESAVI TRK - Profesión de quien notifica",Texto,"revisarValorNulo(): si viene vacío se fuerza 'DESCONOCIDO'; queda pendiente en el código (TODO) su persistencia final",(no persistido),(no persistido)
"DNVE ESAVI TRK - Evento adverso anterior",Option set (Si/No/No sabe),"obtenerValorNumerico(): 'si'→1, 'no'→0, 'no sabe'/'ignorado'/'desconoce'/otros→2; se captura como notificacion.antecedenteEventoPrevio pero NO existe columna equivalente en TR_NOTIFICACION (dato duplicado, el que sí persiste es TR_ANTECEDENTES_EVENTO_ADVERSO.ANTECEDENTES_ADVSIMILAR)",(no persistido),(no persistido)
"DNVE ESAVI TRK - Tiene antecedente vacunal",Option set (Si/No/No sabe),"obtenerValorNumerico(); se captura como notificacion.antecedenteVacunal pero NO existe columna equivalente en TR_NOTIFICACION",(no persistido),(no persistido)
"DNVE ESAVI TRK - Monitoreo del establecimiento de salud",Option set (Si/No/No sabe),"obtenerValorNumerico(); se captura como notificacion.monitorioEstablecimientoSalud pero NO existe columna equivalente en TR_NOTIFICACION",(no persistido),(no persistido)
"DNVE ESAVI TRK - Diagnóstico inicial 1..3",Texto (código CIE-10 + descripción),"separarCodigoYDescripcion(): regex ^([A-Za-z0-9]+)\s*(.*)$ separa código y descripción; genera una fila por cada diagnóstico con ambos valores presentes",TR_DATOS_ESAVI,"NOMBRE_ESAVI (descripción) / CODIGO_CIE10 (código)"
"DNVE ESAVI TRK - Diagnostico final 1..3",Texto (código CIE-10 + descripción),"separarCodigoYDescripcion(); genera una fila adicional por cada diagnóstico final con ambos valores presentes",TR_DATOS_ESAVI,"NOMBRE_ESAVI (descripción) / CODIGO_CIE10 (código)"
"DNVE ESAVI TRK - Sintomatología 1..5",Option set (texto),"Directo (nombre de la opción); genera una fila por cada sintomatología no vacía",TR_DATOS_ESAVI,NOMBRE_ESAVI_REPORTADO
"DNVE ESAVI TRK - Sintomatología Otro",Texto,Directo; genera una fila adicional si viene informado,TR_DATOS_ESAVI,NOMBRE_ESAVI_REPORTADO
"DNVE ESAVI TRK - Fecha de inicio de síntomas del ESAVI + Hora de Inicio de síntomas del ESAVI",Fecha + Hora,"Para diagnósticos: combina fecha (parte antes del espacio) + 'T' + hora + ':00Z' → Date UTC. Para sintomatologías: solo la fecha con formatoFecha()",TR_DATOS_ESAVI,FECHA_ESAVI
"(constante)",-,"Etiqueta generada según el bloque: 'Diagnóstico inicial DHIS2 i' / 'Diagnóstico final DHIS2 i' / 'Sintomatología DHIS2 i' / 'Sintomatología Otro DHIS2'",TR_DATOS_ESAVI,DESCRIPCION
"DNVE ESAVI TRK - Código del caso",Texto,Directo (mismo código de la notificación asociada),TR_DATOS_ESAVI,COGIDO_CASO
"DNVE ESAVI TRK - Antecedente vacuna 1..5",Texto,Directo,TR_DATO_VACUNA,DRUG_NAME
"DNVE ESAVI TRK - Dosis de la vacuna 1..5",Option set (texto),"transformarDosis(): mapa texto→número (DOSIS ÚNICA=0, PRIMERA DOSIS=1, SEGUNDA=2, TERCERA=3, CUARTA=4, QUINTA=5, PRIMER REFUERZO=6, SEGUNDO REFUERZO=7, REFUERZO ANUAL=8; valor no reconocido o vacío → null)",TR_DATO_VACUNA,NUMERO_DOSIS_VACUNA
"DNVE ESAVI TRK - Casa comercial vacuna 1..5",Texto,Directo,TR_DATO_VACUNA,MA_HOLDER
"DNVE ESAVI TRK - Lote de la vacuna 1..5",Texto,Directo,TR_DATO_VACUNA,NUMERO_LOTE
"DNVE ESAVI TRK - Fecha de caducidad de la vacuna 1..5",Fecha,formatoFecha(),TR_DATO_VACUNA,FECHA_VENCIMIENTO_VACUNA
