esquema,tabla,columna,origen,campo_origen,regla_aplicada_o_transformacion,archivo_origen_vigiflow,hoja_origen_vigiflow,columna_excel_vigiflow
DHI_ESAVI,TR_PACIENTE,NOMBRE,dhis2,Atributos 'Nombres' y 'Apellidos',Concatenación: nombres + ' ' + apellidos,,,
DHI_ESAVI,TR_PACIENTE,IDENTIFICACION,dhis2,Atributo 'Nro. de identificación',Directo,,,
DHI_ESAVI,TR_PACIENTE,CODIGO_ORIGEN,dhis2,Atributo 'Nro. de identificación',trim(); clave de deduplicación: si ya existe el paciente se actualiza en lugar de crear,,,
DHI_ESAVI,TR_PACIENTE,CT_SEXO_ID,dhis2,Atributo 'Sexo',Valor del option set (código→nombre en la extracción) y luego búsqueda en catálogo por descripción (findByDescriptionToDhis2) → FK,,,
DHI_ESAVI,TR_PACIENTE,CT_AUTO_IDENTIFICACION_ETNICA_ID,dhis2,Atributo 'Autoidentificación',toUpperCase() y reemplazo 'Í'→'I'; búsqueda en catálogo por descripción → FK,,,
DHI_ESAVI,TR_PACIENTE,FECHA_NACIMIENTO,dhis2,Atributo 'Fecha de nacimiento',formatoFecha(): parsea substring año/mes/día → Date UTC (nulo si inválida),,,
DHI_ESAVI,TR_PACIENTE,IDENTIFICACION,vigiflow,Número de identificación,toString().trim(); nulo si vacío,VigiFlow_AEFILinelisting_ddmmaaaa_hhmmss.xlsx,AEFI line listing (hoja 0),E
DHI_ESAVI,TR_PACIENTE,CT_SEXO_ID,vigiflow,Sexo,Búsqueda en catálogo por descripción (findByDescriptionToVigiflow) → FK,VigiFlow_AEFILinelisting_ddmmaaaa_hhmmss.xlsx,AEFI line listing (hoja 0),F
DHI_ESAVI,TR_PACIENTE,CODIGO_ORIGEN,vigiflow,Número de identificación único mundial,trim(); clave de deduplicación: si existe se actualizan identificación y fecha de nacimiento solamente,VigiFlow_AEFILinelisting_ddmmaaaa_hhmmss.xlsx,AEFI line listing (hoja 0),B
DHI_ESAVI,TR_PACIENTE,INICIALES_NOMBRE,vigiflow,Iniciales,trim() + toUpperCase(),VigiFlow_AEFILinelisting_ddmmaaaa_hhmmss.xlsx,AEFI line listing (hoja 0),C
DHI_ESAVI,TR_PACIENTE,FECHA_NACIMIENTO,vigiflow,Fecha de nacimiento,analizarCadenaFecha(): parseo de cadena de fecha → Date UTC,VigiFlow_AEFILinelisting_ddmmaaaa_hhmmss.xlsx,AEFI line listing (hoja 0),G
DHI_ESAVI,TR_PACIENTE,ORIGEN_ORIGINAL,vigiflow,Iniciales; Nro identificación; Sexo; Fecha nacimiento; Edad; Unidad de edad; Reportado por,JSON con los valores crudos del Excel sin transformar (respaldo del origen),VigiFlow_AEFILinelisting_ddmmaaaa_hhmmss.xlsx,AEFI line listing (hoja 0),"C,E,F,G,H,I,AB"
DHI_ESAVI,TR_NOTIFICACION,MEDIO_NOTIFICACION,dhis2,(constante),Valor fijo 'Medio electrónico DHIS2',,,
DHI_ESAVI,TR_NOTIFICACION,EDAD,dhis2,'DNVE ESAVI TRK - Edad',"formatoInteger(); válida solo si 0<edad<121 y existe unidad; si no, se calcula: fechaNotificacion − fechaNacimiento en años (ajuste por cumpleaños)",,,
DHI_ESAVI,TR_NOTIFICACION,CTUNIDADEDAD_ID,dhis2,'DNVE ESAVI TRK - Tipo edad',"buscarSubcategoriaPorSimilitud('UNIDAD_EDAD', valor) → FK catálogo padre; si la edad fue calculada se asigna 'Años'",,,
DHI_ESAVI,TR_NOTIFICACION,FECHA_NOTIFICACION,dhis2,Atributo 'Fecha de notificación',formatoFecha(),,,
DHI_ESAVI,TR_NOTIFICACION,FECHA_REPORTE_NACIONAL,dhis2,Atributo 'Fecha de notificación',Mismo valor que FECHA_NOTIFICACION (duplicado por recomendación del equipo funcional),,,
DHI_ESAVI,TR_NOTIFICACION,FECHA_ATENCION,dhis2,'DNVE ESAVI TRK - Fecha de atención',formatoFecha(),,,
DHI_ESAVI,TR_NOTIFICACION,FECHA_LLENADO_FICHA,dhis2,'Incident date' (occurredAt del enrollment),formatoFecha(),,,
DHI_ESAVI,TR_NOTIFICACION,CODIGO_ORIGEN_NOTIFICACION,dhis2,'DNVE ESAVI TRK - Código del caso',Directo; clave de deduplicación: si existe la notificación se actualiza; sin este código el registro se omite,,,
DHI_ESAVI,TR_NOTIFICACION,CT_TIPO_EMISOR_ID,dhis2,(constante),Valor fijo 'Profesional de la salud' → buscarSubcategoriaPorSimilitud('TIPO_EMISOR') → FK,,,
DHI_ESAVI,TR_NOTIFICACION,CTPARROQUIA_CODIGO,dhis2,'DNVE ESAVI TRK - Parroquia residencia',"Extrae código de 6 dígitos entre paréntesis con regex \((\d{6})\); si no hay, busca por nombre en TC parroquia → FK",,,
DHI_ESAVI,TR_NOTIFICACION,ESTABLECIMIENTO_ID,dhis2,'DNVE ESAVI TRK - Unicódigo',trim() y búsqueda en TR_ESTABLECIMIENTO por UNI_CODIGO (solo habilitados) → FK,,,
DHI_ESAVI,TR_NOTIFICACION,CASO_NARRATIVO,dhis2,'DNVE ESAVI TRK - Observaciones',Directo,,,
DHI_ESAVI,TR_NOTIFICACION,ORIGEN,dhis2,(constante),Valor fijo 'DHIS2',,,
DHI_ESAVI,TR_NOTIFICACION,EDAD,vigiflow,Edad,"formatoEnteroSinSeparadores(): descarta puntos y comas y convierte a entero; válida solo si 0<edad<121 y existe unidad",VigiFlow_AEFILinelisting_ddmmaaaa_hhmmss.xlsx,AEFI line listing (hoja 0),H
DHI_ESAVI,TR_NOTIFICACION,CTUNIDADEDAD_ID,vigiflow,Unidad de edad,toUpperCase() + buscarSubcategoriaPorSimilitud('UNIDAD_EDAD') → FK; si la edad fue calculada se asigna la unidad calculada (AÑOS/MESES/Dias),VigiFlow_AEFILinelisting_ddmmaaaa_hhmmss.xlsx,AEFI line listing (hoja 0),I
DHI_ESAVI,TR_NOTIFICACION,FECHA_NOTIFICACION,vigiflow,Fecha de notificación,analizarCadenaFecha(); luego SOBREESCRITA en la fase de actualización con la col J de la hoja Reportes,VigiFlow_AEFILinelisting_ddmmaaaa_hhmmss.xlsx,AEFI line listing (hoja 0),AD
DHI_ESAVI,TR_NOTIFICACION,FECHA_LLENADO_FICHA,vigiflow,Fecha de notificación,Mismo valor que la fecha de notificación de AEFI,VigiFlow_AEFILinelisting_ddmmaaaa_hhmmss.xlsx,AEFI line listing (hoja 0),AD
DHI_ESAVI,TR_NOTIFICACION,FECHA_REPORTE_NACIONAL,vigiflow,Fecha del reporte,analizarCadenaFecha(); luego sobreescrita con col J de la hoja Reportes,VigiFlow_AEFILinelisting_ddmmaaaa_hhmmss.xlsx,AEFI line listing (hoja 0),AE
DHI_ESAVI,TR_NOTIFICACION,MEDIO_NOTIFICACION,vigiflow,(constante),Valor fijo 'Medio electrónico' — mismo literal para VigiFlow y DHIS2 (sin mencionar el sistema de origen),VigiFlow_AEFILinelisting_ddmmaaaa_hhmmss.xlsx,AEFI line listing (hoja 0),
DHI_ESAVI,TR_NOTIFICACION,CODIGO_ORIGEN_NOTIFICACION,vigiflow,Número de identificación único mundial,Directo; clave de deduplicación/actualización,VigiFlow_AEFILinelisting_ddmmaaaa_hhmmss.xlsx,AEFI line listing (hoja 0),B
DHI_ESAVI,TR_NOTIFICACION,ORIGEN,vigiflow,(constante),Valor fijo 'VIGIFLOW',VigiFlow_AEFILinelisting_ddmmaaaa_hhmmss.xlsx,AEFI line listing (hoja 0),
DHI_ESAVI,TR_NOTIFICACION,ORIGEN_ORIGINAL,vigiflow,Valores crudos del paciente,"JSON con valores sin transformar (iniciales, identificación, sexo, fecha nacimiento, edad, unidad, reportadoPor)",VigiFlow_AEFILinelisting_ddmmaaaa_hhmmss.xlsx,AEFI line listing (hoja 0),"C,E,F,G,H,I,AB"
DHI_ESAVI,TR_NOTIFICACION,CASO_NARRATIVO,vigiflow,Caso narrativo,Directo (fase de actualización),VigiFlow_Excel_ddmmaaaa_hhmmss.xlsx,Reportes (hoja 1),AC
DHI_ESAVI,TR_NOTIFICACION,CT_TIPO_REPORTE_ID,vigiflow,Tipo de reporte,buscarSubcategoriaPorSimilitud('TIPO_REPORTE') → FK,VigiFlow_Excel_ddmmaaaa_hhmmss.xlsx,Reportes (hoja 1),N
DHI_ESAVI,TR_NOTIFICACION,FECHA_NOTIFICACION,vigiflow,Fecha de recepción inicial,analizarCadenaFecha(); sobreescribe el valor tomado de AEFI col AD,VigiFlow_Excel_ddmmaaaa_hhmmss.xlsx,Reportes (hoja 1),J
DHI_ESAVI,TR_NOTIFICACION,FECHA_REPORTE_NACIONAL,vigiflow,Fecha de recepción inicial,Mismo valor de col J (sobreescribe AEFI col AE),VigiFlow_Excel_ddmmaaaa_hhmmss.xlsx,Reportes (hoja 1),J
