codigo,codigo_padre,descripcion,codigo_homologado
GENERO,,Sexo,
HOMBRE,GENERO,Hombre,1
MUJER,GENERO,Mujer,2
OTRO,GENERO,Otro,3
ETNIA,,Etnia,
INDIGENA,ETNIA,Indigena,1
AFROECUATORIANO,ETNIA,Afroecuatoriano,2
NEGRO,ETNIA,Negro,3
MULATO,ETNIA,Mulato,4
MONTUBIO,ETNIA,Montubio,5
MESTIZO,ETNIA,Mestizo,6
BLANCO,ETNIA,Blanco,7
OTRO,ETNIA,Otro,8
OCUPACION,,Ocupacion,
AUXILIAR,OCUPACION,Auxiliar,
ENFERMERA,OCUPACION,Enfermera,
ESTUDIANTE,OCUPACION,Estudiante,
ESTUDIANTES,OCUPACION,Estudiantes,
FARMACEUTICO,OCUPACION,Farmaceutico,
INTERNO,OCUPACION,Interno,
MEDICO,OCUPACION,Medico,
OTRO_PROFESIONAL_DE_LA_SALUD,OCUPACION,Otro profesional de la salud,
CONSUMIDOR_U_OTRO_PROFESIONAL,OCUPACION,Consumidor u otro profesional,
OTRO_OCUPACION,OCUPACION,Otro,
DESCONOCIDO,OCUPACION,Desconocido,
ROL_MEDICAMENTO,,Rol medicamento,
SOSPECHOSO,ROL_MEDICAMENTO,Sospechoso,1
CONCOMITANTE,ROL_MEDICAMENTO,Concomitante,2
INTERACTUANTE,ROL_MEDICAMENTO,Interactuante,3
NO_ADMINISTRADO,ROL_MEDICAMENTO,No administrado,4
UNIDAD_EDAD,,Unidad edad,
ANOS,UNIDAD_EDAD,Anos,1
ANO,UNIDAD_EDAD,Ano,1
MESES,UNIDAD_EDAD,Meses,2
MES,UNIDAD_EDAD,Mes,2
DIAS,UNIDAD_EDAD,Dias,3
SEMANA,UNIDAD_EDAD,Semana,5
HORA,UNIDAD_EDAD,Hora,4
ESTADO_REGISTRO,,Estado registro,
ACTIVO,ESTADO_REGISTRO,Activo,
INACTIVO,ESTADO_REGISTRO,Inactivo,
TIPO_EMISOR,,Tipo emisor,
PROFESIONAL_SALUD,TIPO_EMISOR,Profesional de la salud,
PACIENTE_CONSUMIDOR,TIPO_EMISOR,Paciente / consumidor,
LABORATORIO_FARMACEUTICO,TIPO_EMISOR,Laboratorio farmacéutico,
CENTRO_REGIONAL_FARMACOVIGILANCIA,TIPO_EMISOR,Centro regional de farmacovigilancia,
OTRO_EMISOR,TIPO_EMISOR,Otro,
TIPO_REPORTE,,Tipo reporte,
INICIAL,TIPO_REPORTE,Inicial,
SEGUIMIENTO,TIPO_REPORTE,Seguimiento,
FINAL,TIPO_REPORTE,Final,
ESPONTANEO,TIPO_REPORTE,Espontáneo,
REPORTE_DE_ESTUDIO,TIPO_REPORTE,Reporte de estudio,
OTRO_TIPO_REPORTE,TIPO_REPORTE,Otro,
CARACTERIZACION_VACUNA,,Caracterización vacuna,
CV_SOSPECHOSO,CARACTERIZACION_VACUNA,SOSPECHOSO,
CV_CONCOMITANTE,CARACTERIZACION_VACUNA,CONCOMITANTE,
CV_INTERACTUANTANTE,CARACTERIZACION_VACUNA,INTERACTUANTANTE,
CV_MED_NO_ADMINISTRADO,CARACTERIZACION_VACUNA,MEDICAMENTO NO ADMINISTRADO,
UNIDAD_EDAD,,Unidad de edad,
UE_ANO,UNIDAD_EDAD,Año,
UE_ANOS,UNIDAD_EDAD,Años,
UE_DIAS,UNIDAD_EDAD,Dias,
UE_HORA,UNIDAD_EDAD,Hora,
UE_MES,UNIDAD_EDAD,Mes,
UE_MESES,UNIDAD_EDAD,Meses,
UE_SEMANA,UNIDAD_EDAD,Semana,
