DESCRIPCION_VIGIFLOW,DESCRIPCION_DHIS2,DESCRIPCION_HOMOLOGADA
PAÑACOCHA (210452),PAÑACOCHA (210452),PAÑACOCHA
BERMEJOS (140252),BERMEJOS (140252),BERMEJOS
*LA TINGUE (110953),*LA TINGUE (110953),*LA TINGUE (110953)
EL ESFUERZO (230156),EL ESFUERZO (230156),EL ESFUERZO
PALLATANGA (060850),PALLATANGA (060850),PALLATANGA
SAN VICENTE (132250),SAN VICENTE (132250),SAN VICENTE
JOSE LUIS TAMAYO (MUEY) (240352),JOSE LUIS TAMAYO (MUEY) (240352),JOSE LUIS TAMAYO (MUEY)
*LAS PAMPAS (050155),*LAS PAMPAS (050155),*LAS PAMPAS (050155)
RICAURTE (120651),RICAURTE (120651),RICAURTE
ELOY ALFARO (DURAN) (090750),ELOY ALFARO (DURAN) (090750),ELOY ALFARO (DURAN)
SIETE DE JULIO (210455),SIETE DE JULIO (210455),SIETE DE JULIO
PUERTO EL CARMEN DEL PUTUMAYO (210350),PUERTO EL CARMEN DEL PUTUMAYO (210350),PUERTO EL CARMEN DEL PUTUMAYO
SAN GREGORIO (080357),SAN GREGORIO (080357),SAN GREGORIO
VALLE HERMOSO (230155),VALLE HERMOSO (230155),VALLE HERMOSO
*OÑA (010454),*OÑA (010454),*OÑA (010454)
PICOAZA (130104),PICOAZA (130104),PICOAZA
SAN JACINTO (090551),SAN JACINTO (090551),SAN JACINTO
ROSA FLORIDA (210553),ROSA FLORIDA (210553),ROSA FLORIDA
SAN JUAN (060160),SAN JUAN (060160),SAN JUAN
RIO BLANCO (140164),RIO BLANCO (140164),RIO BLANCO
*ROCAFUERTE (080162),*ROCAFUERTE (080162),*ROCAFUERTE (080162)
TORATA (071255),TORATA (071255),TORATA
AMARILLOS (110554),AMARILLOS (110554),AMARILLOS
SAN SEBASTIAN DEL COCA (220354),SAN SEBASTIAN DEL COCA (220354),SAN SEBASTIAN DEL COCA
ZAPOTAL (120752),ZAPOTAL (120752),ZAPOTAL
TABABELA (170183),TABABELA (170183),TABABELA
SAN PEDRO DE LOS COFANES (210454),SAN PEDRO DE LOS COFANES (210454),SAN PEDRO DE LOS COFANES
