DESCRIPCION_VIGIFLOW,DESCRIPCION_DHIS2,DESCRIPCION_HOMOLOGADA
CAMILO PONCE ENRIQUEZ (0115),CAMILO PONCE ENRIQUEZ (0115),CAMILO PONCE ENRIQUEZ
SIMON BOLIVAR (0922),SIMON BOLIVAR (0922),SIMON BOLIVAR
LOJA (1101),LOJA (1101),LOJA
BALZAR (0904),BALZAR (0904),BALZAR
VINCES (1208),VINCES (1208),VINCES
SAN VICENTE (1322),SAN VICENTE (1322),SAN VICENTE
TULCAN (0401),TULCAN (0401),TULCAN
PALORA (1404),PALORA (1404),PALORA
ANTONIO ANTE (1002),ANTONIO ANTE (1002),ANTONIO ANTE
ORELLANA (2201),ORELLANA (2201),ORELLANA
PORTOVIEJO (1301),PORTOVIEJO (1301),PORTOVIEJO
NARANJITO (0912),NARANJITO (0912),NARANJITO
PUERTO QUITO (1709),PUERTO QUITO (1709),PUERTO QUITO
SEVILLA DE ORO (0113),SEVILLA DE ORO (0113),SEVILLA DE ORO
PAUTE (0105),PAUTE (0105),PAUTE
ATAHUALPA (0703),ATAHUALPA (0703),ATAHUALPA
EL GUABO (0706),EL GUABO (0706),EL GUABO
LORETO (2204),LORETO (2204),LORETO
SAN LORENZO (0805),SAN LORENZO (0805),SAN LORENZO
JUNIN (1307),JUNIN (1307),JUNIN
PORTOVELO (0711),PORTOVELO (0711),PORTOVELO
SAN MIGUEL DE LOS BANCOS (1707),SAN MIGUEL DE LOS BANCOS (1707),SAN MIGUEL DE LOS BANCOS
GONZANAMA (1107),GONZANAMA (1107),GONZANAMA
QUINSALOMA (1213),QUINSALOMA (1213),QUINSALOMA
SUSCAL (0307),SUSCAL (0307),SUSCAL
EL PANGUI (1906),EL PANGUI (1906),EL PANGUI
BALAO (0903),BALAO (0903),BALAO
QUININDE (0804),QUININDE (0804),QUININDE
BABAHOYO (1201),BABAHOYO (1201),BABAHOYO
PAQUISHA (1909),PAQUISHA (1909),PAQUISHA
PALLATANGA (0608),PALLATANGA (0608),PALLATANGA
HUAMBOYA (1407),HUAMBOYA (1407),HUAMBOYA
LA LIBERTAD (2402),LA LIBERTAD (2402),LA LIBERTAD
SAN JACINTO DE YAGUACHI (0920),SAN JACINTO DE YAGUACHI (0920),SAN JACINTO DE YAGUACHI
PUYANGO (1110),PUYANGO (1110),PUYANGO
ZAPOTILLO (1113),ZAPOTILLO (1113),ZAPOTILLO
CAÑAR (0303),CAÑAR (0303),CAÑAR
CUENCA (0101),CUENCA (0101),CUENCA
ROCAFUERTE (1312),ROCAFUERTE (1312),ROCAFUERTE
PALENQUE (1209),PALENQUE (1209),PALENQUE
CHILLANES (0202),CHILLANES (0202),CHILLANES
SAN MIGUEL DE URCUQUI (1006),SAN MIGUEL DE URCUQUI (1006),SAN MIGUEL DE URCUQUI
QUERO (1806),QUERO (1806),QUERO
MONTUFAR (0405),MONTUFAR (0405),MONTUFAR
MARCABELI (0708),MARCABELI (0708),MARCABELI
SOZORANGA (1112),SOZORANGA (1112),SOZORANGA
SIGSIG (0109),SIGSIG (0109),SIGSIG
COLIMES (0905),COLIMES (0905),COLIMES
ZONA EN ESTUDIO: AZUAY - GUAYAS (9001),ZONA EN ESTUDIO: AZUAY - GUAYAS (9001),ZONA EN ESTUDIO: AZUAY - GUAYAS
JARAMIJO (1321),JARAMIJO (1321),JARAMIJO
SANTA ELENA (2401),SANTA ELENA (2401),SANTA ELENA
CALVAS (1102),CALVAS (1102),CALVAS
OÑA (0110),OÑA (0110),OÑA
OTAVALO (1004),OTAVALO (1004),OTAVALO
SAN JUAN BOSCO (1408),SAN JUAN BOSCO (1408),SAN JUAN BOSCO
OLMEDO (1116),OLMEDO (1116),OLMEDO
YACUAMBI (1904),YACUAMBI (1904),YACUAMBI
VENTANAS (1207),VENTANAS (1207),VENTANAS
TENA (1501),TENA (1501),TENA
SAN MIGUEL (0205),SAN MIGUEL (0205),SAN MIGUEL
CHILLA (0705),CHILLA (0705),CHILLA
ATACAMES (0806),ATACAMES (0806),ATACAMES
GUARANDA (0201),GUARANDA (0201),GUARANDA
COLTA (0603),COLTA (0603),COLTA
MONTALVO (1203),MONTALVO (1203),MONTALVO
DELEG (0306),DELEG (0306),DELEG
CENTINELA DEL CONDOR (1907),CENTINELA DEL CONDOR (1907),CENTINELA DEL CONDOR
PEDERNALES (1317),PEDERNALES (1317),PEDERNALES
BAÑOS DE AGUA SANTA (1802),BAÑOS DE AGUA SANTA (1802),BAÑOS DE AGUA SANTA
LATACUNGA (0501),LATACUNGA (0501),LATACUNGA
QUILANGA (1115),QUILANGA (1115),QUILANGA
MERA (1602),MERA (1602),MERA
SAMBORONDON (0916),SAMBORONDON (0916),SAMBORONDON
PIÑAS (0710),PIÑAS (0710),PIÑAS
SIGCHOS (0507),SIGCHOS (0507),SIGCHOS
CHORDELEG (0111),CHORDELEG (0111),CHORDELEG
GUALACEO (0103),GUALACEO (0103),GUALACEO
RUMIÑAHUI (1705),RUMIÑAHUI (1705),RUMIÑAHUI
GUANO (0607),GUANO (0607),GUANO
LIMON INDANZA (1403),LIMON INDANZA (1403),LIMON INDANZA
ALAUSI (0602),ALAUSI (0602),ALAUSI
LOMAS DE SARGENTILLO (0924),LOMAS DE SARGENTILLO (0924),LOMAS DE SARGENTILLO
PASTAZA (1601),PASTAZA (1601),PASTAZA
CUYABENO (2107),CUYABENO (2107),CUYABENO
SAN PEDRO DE PELILEO (1807),SAN PEDRO DE PELILEO (1807),SAN PEDRO DE PELILEO
QUEVEDO (1205),QUEVEDO (1205),QUEVEDO
EL PAN (0112),EL PAN (0112),EL PAN
BOLIVAR (1302),BOLIVAR (1302),BOLIVAR
CAYAMBE (1702),CAYAMBE (1702),CAYAMBE
JAMA (1320),JAMA (1320),JAMA
ZONA EN ESTUDIO: EL PIEDRERO (CAÑAR- GUAYAS) (9002),ZONA EN ESTUDIO: EL PIEDRERO (CAÑAR- GUAYAS) (9002),ZONA EN ESTUDIO: EL PIEDRERO (CAÑAR- GUAYAS)
MUISNE (0803),MUISNE (0803),MUISNE
BIBLIAN (0302),BIBLIAN (0302),BIBLIAN
DAULE (0906),DAULE (0906),DAULE
MACARA (1108),MACARA (1108),MACARA
ECHEANDIA (0204),ECHEANDIA (0204),ECHEANDIA
ALFREDO BAQUERIZO MORENO (0902),ALFREDO BAQUERIZO MORENO (0902),ALFREDO BAQUERIZO MORENO
ESMERALDAS (0801),ESMERALDAS (0801),ESMERALDAS
HUAQUILLAS (0707),HUAQUILLAS (0707),HUAQUILLAS
IBARRA (1001),IBARRA (1001),IBARRA
CALUMA (0206),CALUMA (0206),CALUMA
NABON (0104),NABON (0104),NABON
LAS LAJAS (0714),LAS LAJAS (0714),LAS LAJAS
URDANETA (1206),URDANETA (1206),URDANETA
DISTRITO METROPOLITANO DE QUITO (1701),DISTRITO METROPOLITANO DE QUITO (1701),DISTRITO METROPOLITANO DE QUITO
SUCUMBIOS (2105),SUCUMBIOS (2105),SUCUMBIOS
ZONA NO DELIMITADO (9004),ZONA NO DELIMITADO (9004),ZONA NO DELIMITADO
CHONE (1303),CHONE (1303),CHONE
CHINCHIPE (1902),CHINCHIPE (1902),CHINCHIPE
NARANJAL (0911),NARANJAL (0911),NARANJAL
CARLOS JULIO AROSEMENA TOLA (1509),CARLOS JULIO AROSEMENA TOLA (1509),CARLOS JULIO AROSEMENA TOLA
PALESTINA (0913),PALESTINA (0913),PALESTINA
PENIPE (0609),PENIPE (0609),PENIPE
ZARUMA (0713),ZARUMA (0713),ZARUMA
PABLO SEXTO (1411),PABLO SEXTO (1411),PABLO SEXTO
MORONA (1401),MORONA (1401),MORONA
RIOBAMBA (0601),RIOBAMBA (0601),RIOBAMBA
PEDRO MONCAYO (1704),PEDRO MONCAYO (1704),PEDRO MONCAYO
COTACACHI (1003),COTACACHI (1003),COTACACHI
ESPINDOLA (1106),ESPINDOLA (1106),ESPINDOLA
CATAMAYO (1103),CATAMAYO (1103),CATAMAYO
MACHALA (0701),MACHALA (0701),MACHALA
TOSAGUA (1315),TOSAGUA (1315),TOSAGUA
CEVALLOS (1803),CEVALLOS (1803),CEVALLOS
LA MANA (0502),LA MANA (0502),LA MANA
SALCEDO (0505),SALCEDO (0505),SALCEDO
OLMEDO (1318),OLMEDO (1318),OLMEDO
CUMANDA (0610),CUMANDA (0610),CUMANDA
LAS NAVES (0207),LAS NAVES (0207),LAS NAVES
SALINAS (2403),SALINAS (2403),SALINAS
ZONA NO DELIMITADO (9003),ZONA NO DELIMITADO (9003),ZONA NO DELIMITADO
SAN CRISTOBAL (2001),SAN CRISTOBAL (2001),SAN CRISTOBAL
ARCHIDONA (1503),ARCHIDONA (1503),ARCHIDONA
FLAVIO ALFARO (1305),FLAVIO ALFARO (1305),FLAVIO ALFARO
SANTA LUCIA (0918),SANTA LUCIA (0918),SANTA LUCIA
PUEBLOVIEJO (1204),PUEBLOVIEJO (1204),PUEBLOVIEJO
LA JOYA DE LOS SACHAS (2203),LA JOYA DE LOS SACHAS (2203),LA JOYA DE LOS SACHAS
SHUSHUFINDI (2104),SHUSHUFINDI (2104),SHUSHUFINDI
GUAYAQUIL (0901),GUAYAQUIL (0901),GUAYAQUIL
SARAGURO (1111),SARAGURO (1111),SARAGURO
LOGROÑO (1410),LOGROÑO (1410),LOGROÑO
SANTO DOMINGO (2301),SANTO DOMINGO (2301),SANTO DOMINGO
SANTA ROSA (0712),SANTA ROSA (0712),SANTA ROSA
PUERTO LOPEZ (1319),PUERTO LOPEZ (1319),PUERTO LOPEZ
LAGO AGRIO (2101),LAGO AGRIO (2101),LAGO AGRIO
LA CONCORDIA (0808),LA CONCORDIA (0808),LA CONCORDIA
TAISHA (1409),TAISHA (1409),TAISHA
PINDAL (1114),PINDAL (1114),PINDAL
GIRON (0102),GIRON (0102),GIRON
YANTZAZA (1905),YANTZAZA (1905),YANTZAZA
CASCALES (2106),CASCALES (2106),CASCALES
AMBATO (1801),AMBATO (1801),AMBATO
ZONA EN ESTUDIO: SANTA ROSA DE AGUA CLARA (BOLIVAR- GUAYAS) (9005),ZONA EN ESTUDIO: SANTA ROSA DE AGUA CLARA (BOLIVAR- GUAYAS) (9005),ZONA EN ESTUDIO: SANTA ROSA DE AGUA CLARA (BOLIVAR- GUAYAS)
GENERAL ANTONIO ELIZALDE (0927),GENERAL ANTONIO ELIZALDE (0927),GENERAL ANTONIO ELIZALDE
SANTIAGO (1405),SANTIAGO (1405),SANTIAGO
24 DE MAYO (1316),24 DE MAYO (1316),24 DE MAYO
CHIMBO (0203),CHIMBO (0203),CHIMBO
QUIJOS (1507),QUIJOS (1507),QUIJOS
MONTECRISTI (1309),MONTECRISTI (1309),MONTECRISTI
BABA (1202),BABA (1202),BABA
ARENILLAS (0702),ARENILLAS (0702),ARENILLAS
GUACHAPALA (0114),GUACHAPALA (0114),GUACHAPALA
PICHINCHA (1311),PICHINCHA (1311),PICHINCHA
PASAJE (0709),PASAJE (0709),PASAJE
MILAGRO (0910),MILAGRO (0910),MILAGRO
AZOGUES (0301),AZOGUES (0301),AZOGUES
ISIDRO AYORA (0928),ISIDRO AYORA (0928),ISIDRO AYORA
PAJAN (1310),PAJAN (1310),PAJAN
CORONEL MARCELINO MARIDUEÑA (0923),CORONEL MARCELINO MARIDUEÑA (0923),CORONEL MARCELINO MARIDUEÑA
GUAMOTE (0606),GUAMOTE (0606),GUAMOTE
CELICA (1104),CELICA (1104),CELICA
TISALEO (1809),TISALEO (1809),TISALEO
RIOVERDE (0807),RIOVERDE (0807),RIOVERDE
DURAN (0907),DURAN (0907),DURAN
BALSAS (0704),BALSAS (0704),BALSAS
GUALAQUIZA (1402),GUALAQUIZA (1402),GUALAQUIZA
PEDRO VICENTE MALDONADO (1708),PEDRO VICENTE MALDONADO (1708),PEDRO VICENTE MALDONADO
AGUARICO (2202),AGUARICO (2202),AGUARICO
CHUNCHI (0605),CHUNCHI (0605),CHUNCHI
EL CARMEN (1304),EL CARMEN (1304),EL CARMEN
PUTUMAYO (2103),PUTUMAYO (2103),PUTUMAYO
VALENCIA (1211),VALENCIA (1211),VALENCIA
LA CONCORDIA (2302),LA CONCORDIA (2302),LA CONCORDIA
MEJIA (1703),MEJIA (1703),MEJIA
TIWINTZA (1412),TIWINTZA (1412),TIWINTZA
CHAMBO (0604),CHAMBO (0604),CHAMBO
PIMAMPIRO (1005),PIMAMPIRO (1005),PIMAMPIRO
PANGUA (0503),PANGUA (0503),PANGUA
ISABELA (2002),ISABELA (2002),ISABELA
MIRA (0404),MIRA (0404),MIRA
MANTA (1308),MANTA (1308),MANTA
BOLIVAR (0402),BOLIVAR (0402),BOLIVAR
SANTA ANA (1313),SANTA ANA (1313),SANTA ANA
BUENA FE (1210),BUENA FE (1210),BUENA FE
EL EMPALME (0908),EL EMPALME (0908),EL EMPALME
PATATE (1805),PATATE (1805),PATATE
SUCRE (1314),SUCRE (1314),SUCRE
ELOY ALFARO (0802),ELOY ALFARO (0802),ELOY ALFARO
PEDRO CARBO (0914),PEDRO CARBO (0914),PEDRO CARBO
NANGARITZA (1903),NANGARITZA (1903),NANGARITZA
GONZALO PIZARRO (2102),GONZALO PIZARRO (2102),GONZALO PIZARRO
SAN PEDRO DE HUACA (0406),SAN PEDRO DE HUACA (0406),SAN PEDRO DE HUACA
EL TRIUNFO (0909),EL TRIUNFO (0909),EL TRIUNFO
CHAGUARPAMBA (1105),CHAGUARPAMBA (1105),CHAGUARPAMBA
ZAMORA (1901),ZAMORA (1901),ZAMORA
SANTA CRUZ (2003),SANTA CRUZ (2003),SANTA CRUZ
PALTAS (1109),PALTAS (1109),PALTAS
PUJILI (0504),PUJILI (0504),PUJILI
SANTIAGO DE PILLARO (1808),SANTIAGO DE PILLARO (1808),SANTIAGO DE PILLARO
SAN FERNANDO (0107),SAN FERNANDO (0107),SAN FERNANDO
SALITRE (0919),SALITRE (0919),SALITRE
NOBOL (0925),NOBOL (0925),NOBOL
EL CHACO (1504),EL CHACO (1504),EL CHACO
PLAYAS (0921),PLAYAS (0921),PLAYAS
ESPEJO (0403),ESPEJO (0403),ESPEJO
LA TRONCAL (0304),LA TRONCAL (0304),LA TRONCAL
PALANDA (1908),PALANDA (1908),PALANDA
SANTA CLARA (1603),SANTA CLARA (1603),SANTA CLARA
SUCUA (1406),SUCUA (1406),SUCUA
MOCHA (1804),MOCHA (1804),MOCHA
SANTA ISABEL (0108),SANTA ISABEL (0108),SANTA ISABEL
MOCACHE (1212),MOCACHE (1212),MOCACHE
EL TAMBO (0305),EL TAMBO (0305),EL TAMBO
PUCARA (0106),PUCARA (0106),PUCARA
SAQUISILI (0506),SAQUISILI (0506),SAQUISILI
JIPIJAPA (1306),JIPIJAPA (1306),JIPIJAPA
ARAJUNO (1604),ARAJUNO (1604),ARAJUNO
